"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $0/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x82413ff2f9c4f81da678562d38dab2028991eb3ded7d7fcca353890f4eef4874","11328334","1635595855","2021-10-30 12:10:55","0x196d9759799a42db67cd54961fa356b002b69350","0x6ab9fb3e51d2f797dfcd603e4977e143051a76af","","0","0","0","0.000052400631972467","0","","Error(0)","Reverted","Vote",""
"0x5f5c8ec51101cbc0ff4402e5b35175419bb541367f86b84150259e570848a3a4","11328334","1635595855","2021-10-30 12:10:55","0xcc9ac83832407a0c9dc00bfb651dfee621c241b2","0x6ab9fb3e51d2f797dfcd603e4977e143051a76af","","0","0","0","0.00005240063194864","0","","Error(0)","Reverted","Vote",""
"0x4a569641119b92779049e812247a9915992ca15e7d23e42e720722edbf744a40","11328334","1635595855","2021-10-30 12:10:55","0xcc9ac83832407a0c9dc00bfb651dfee621c241b2","0x6ab9fb3e51d2f797dfcd603e4977e143051a76af","","0","0","0","0.000187442500974701","0","","","","Add Candidate",""
"0x6462beedac1fccbc2009451a13ce96f17181247564d596bd4b4018fa94434ba8","11328334","1635595855","2021-10-30 12:10:55","0xcc9ac83832407a0c9dc00bfb651dfee621c241b2","0x6ab9fb3e51d2f797dfcd603e4977e143051a76af","","0","0","0","0.000187442500974701","0","","","","Add Candidate",""
"0x47d87219c58b758980d88b2dd27518c858ac7a774e3cc4cc74948db762cfd920","11328339","1635595893","2021-10-30 12:11:33","0xcc9ac83832407a0c9dc00bfb651dfee621c241b2","0x6ab9fb3e51d2f797dfcd603e4977e143051a76af","","0","0","0","0.000187442500824747","0","","","","Add Candidate",""
"0x43eee56628313530c181456b5643ce8b2e05382ac03fcecc1bc6b3e197476763","11328344","1635595947","2021-10-30 12:12:27","0xcc9ac83832407a0c9dc00bfb651dfee621c241b2","0x6ab9fb3e51d2f797dfcd603e4977e143051a76af","","0","0","0","0.000187442500824747","0","","","","Add Candidate",""
"0x1030ab69a691828e689a96a5933a69dd6395927514a05c1e3cc1e3387de38c9c","11328724","1635600531","2021-10-30 13:28:51","0xcc9ac83832407a0c9dc00bfb651dfee621c241b2","0x6ab9fb3e51d2f797dfcd603e4977e143051a76af","","0","0","0","0.00005956750023827","0","","Error(0)","Reverted","Vote",""
"0x48fee2e6dc376142e8d1319a58f087fcc9480052c331e089bbe45025e592531a","11328788","1635601228","2021-10-30 13:40:28","0xcc9ac83832407a0c9dc00bfb651dfee621c241b2","0x6ab9fb3e51d2f797dfcd603e4977e143051a76af","","0","0","0","0.000059567500214443","0","","Error(0)","Reverted","Vote",""
"0x16b94a899a141c074dc8ee4287434f692b1a314536926fdd53c4417ce67f57e4","11329074","1635605171","2021-10-30 14:46:11","0xb07e182e98c8547cd91b8ae2874e966bea0f77d1","0x6ab9fb3e51d2f797dfcd603e4977e143051a76af","","0","0","0","0.00014591294552029","0","","","","Vote",""
"0xe390e85471a9178c6aac6860c52074e97362202401d4a7c40463ed89b530cea9","11329075","1635605221","2021-10-30 14:47:01","0xb07e182e98c8547cd91b8ae2874e966bea0f77d1","0x6ab9fb3e51d2f797dfcd603e4977e143051a76af","","0","0","0","0.000049848272319334","0","","Error(0)","Reverted","Vote",""
"0x74277b16c177af9e1362e5953b9c40416fc7ad412a5dd8e7938827b47c9d22da","11329580","1635612489","2021-10-30 16:48:09","0xb1c8ea6ec970d982e881594c7a034d0235bf71a9","0x6ab9fb3e51d2f797dfcd603e4977e143051a76af","","0","0","0","0.00008528489915768","0","","","","Vote",""
"0xa8681b18c24d318925b53cb8ec6f4d5c005bc250a8767c45b508e462a842297c","11329600","1635612843","2021-10-30 16:54:03","0xb1c8ea6ec970d982e881594c7a034d0235bf71a9","0x6ab9fb3e51d2f797dfcd603e4977e143051a76af","","0","0","0","0.000047654000262097","0","","Error(0)","Reverted","Vote",""
"0x4e67fcb2b73f48e9307d3122b8c1ee3f56fad87f909f7cd678a481ae5919ee57","11346060","1635832951","2021-11-02 06:02:31","0xa31943fb1389a47a6667271942d9d0c2eeb2a7c3","0x6ab9fb3e51d2f797dfcd603e4977e143051a76af","","0","0","0","0.00010529000136877","0","","","","Vote",""
"0x34cd68abd4066ec0ba273cf52ede0d41967090b276b76357cfdc97b31bc25148","11346079","1635833376","2021-11-02 06:09:36","0xa31943fb1389a47a6667271942d9d0c2eeb2a7c3","0x6ab9fb3e51d2f797dfcd603e4977e143051a76af","","0","0","0","0.000035740893526732","0","","Error(0)","Reverted","Vote",""
"0x1ae379bb4f2f7fbe5073a92368102650549409a8cf89e53f03fb4563f93d626e","11346079","1635833376","2021-11-02 06:09:36","0xa31943fb1389a47a6667271942d9d0c2eeb2a7c3","0x6ab9fb3e51d2f797dfcd603e4977e143051a76af","","0","0","0","0.00004765400095308","0","","Error(0)","Reverted","Vote",""
"0xc517b8c45d953aad0bb550e8a654e19a5d52032791611d3045b45dd003710708","11348552","1635862714","2021-11-02 14:18:34","0xcc9ac83832407a0c9dc00bfb651dfee621c241b2","0x6ab9fb3e51d2f797dfcd603e4977e143051a76af","","0","0","0","0.000047151721002385","0","","Error(0)","Reverted","Vote",""
"0xee7661348782761388908db686ddc3fa96086600087c9efbe807ef3192bf253a","11381278","1636309159","2021-11-07 18:19:19","0x168b3983fb05c58ffa86ad1fa430b2439a8bc369","0x6ab9fb3e51d2f797dfcd603e4977e143051a76af","","0","0","0","0.0000578437432363","0","","","","Vote",""
"0xe100d25eed169cfa0672eec58ca2296f1c32d210f2540e68c6fa6ed69f5991eb","11381285","1636309388","2021-11-07 18:23:08","0x168b3983fb05c58ffa86ad1fa430b2439a8bc369","0x6ab9fb3e51d2f797dfcd603e4977e143051a76af","","0","0","0","0.00002617993864738","0","","Error(0)","Reverted","Vote",""
"0xd5d000adf2e236e7e42c03def5bba97d5570a0b985aa59c3c888870628cb08cf","11381292","1636309484","2021-11-07 18:24:44","0x168b3983fb05c58ffa86ad1fa430b2439a8bc369","0x6ab9fb3e51d2f797dfcd603e4977e143051a76af","","0","0","0","0.000047654000285924","0","","Error(0)","Reverted","Vote",""
"0x3b047ead5315528e57cf3c5868272422147ad8542c824e3dfd1a830219f04e42","11381300","1636309566","2021-11-07 18:26:06","0x168b3983fb05c58ffa86ad1fa430b2439a8bc369","0x6ab9fb3e51d2f797dfcd603e4977e143051a76af","","0","0","0","0.000071481","0","","Error(0)","Reverted","Vote",""
"0x0b4d5612857de83a89df733355ad4eedc54fc94c6a31885c73007f783ff1d800","11381319","1636309814","2021-11-07 18:30:14","0x168b3983fb05c58ffa86ad1fa430b2439a8bc369","0x6ab9fb3e51d2f797dfcd603e4977e143051a76af","","0","0","0","0.000026179938504418","0","","Error(0)","Reverted","Vote",""
"0x7be0f248e260c60633ea5851aae7c7c3a11fffe41d1f077d2515c986a7a5830a","11395658","1636502413","2021-11-10 00:00:13","0xa1bedb70b4857afa8aacbfa9d049772900ea2fb4","0x6ab9fb3e51d2f797dfcd603e4977e143051a76af","","0","0","0","0.000056903057580505","0","","","","Vote",""
"0x7564ee0adaf583db27780950fef6d32a8a539a1729c1322e5b001a6e7c8f8c03","11470995","1637536099","2021-11-21 23:08:19","0xb18ad21e37160946d941ad7d06345b46eeae306d","0x6ab9fb3e51d2f797dfcd603e4977e143051a76af","","0","0","0","0.000174362500627705","0","","","","Vote",""
"0xeb03710268dc402b53c75b63cb0b6d7b55035409ee6ebb2d494433c6c22ce15b","11471006","1637536248","2021-11-21 23:10:48","0xb18ad21e37160946d941ad7d06345b46eeae306d","0x6ab9fb3e51d2f797dfcd603e4977e143051a76af","","0","0","0","0.000065524250214443","0","","Error(0)","Reverted","Vote",""
"0x4e86a14ad68dd818b1564b032913225b7c2d4a2a8a6a01274c896c5b369ffffd","11537224","1638430809","2021-12-02 07:40:09","0x9ddc544853444b6d7edf4eff6b48516fb1f3c0b4","0x6ab9fb3e51d2f797dfcd603e4977e143051a76af","","0","0","0","0.00010529001431944","0","","","","Vote",""
"0x4146a81174d7b249477d5c4cf59abcff62241b7ab09040b8c306582284b4317b","11537247","1638431269","2021-12-02 07:47:49","0x3b34dde7512f2c4fc6c817076b291aeac1b8f4a9","0x6ab9fb3e51d2f797dfcd603e4977e143051a76af","","0","0","0","0.000057909528586235","0","","","","Vote",""
"0xf5d5870defcff0a1371ebdbd7e089f305ee3fc2b593ad149cd254a471c3c7700","11627431","1639612604","2021-12-15 23:56:44","0x2570ca326dd2969fa87341868d4eddf4438124c3","0x6ab9fb3e51d2f797dfcd603e4977e143051a76af","","0","0","0","0.00013161250042116","0","","","","Vote",""
